Fasta,Short_names,Isolate,Partition,Region,year
S1_EKDN220047188-1A_HMTG3DSX5,S1,21_CasTuj_L4_3,Train,Sevilla,21
S2_EKDN230001041-1A_HMTF5DSX5,S2,21_JerAmi_L1_3,Train,Cádiz,21
S3_EKDN220047190-1A_HMTG3DSX5,S3,21_JerRic_L4_4,Train,Cádiz,21
S4_EKDN220047191-1A_HMTG3DSX5,S4,21_EciAmi_L1_3,Train,Sevilla,21
S5_EKDN220047192-1A_HMTG3DSX5,S5,21_EscRic_L1_2,Train,Huelva,21
S6_EKDN220047193-1A_HMTGCDSX5,S6,21_EciRic_L4_1,Train,Sevilla,21
S7_EKDN220047194-1A_HMTGCDSX5,S7,21_ConRic_L3_1,Train,Cádiz,21
S8_EKDN220047195-1A_HMTG3DSX5,S8,21_EciTej_L1_1,Train,Sevilla,21
S9_EKDN220047196-1A_HMTF5DSX5,S9,21_EciCon_L4_3,Train,Sevilla,21
S10_EKDN220047197-1A_HMTG3DSX5,S10,21_EscAmi_L1_1,Train,Huelva,21
S11_EKDN220047198-1A_HMTG3DSX5,S11,21_ManTuj_L3_1,Train,Huelva,21
S12_EKDN220047199-1A_HMTG3DSX5,S12,22_Esc3911_L2,Train,Huelva,22
S13_EKDN220047200-1A_HMTG3DSX5,S13,22_EscEuro_L1,Train,Huelva,22
S14_EKDN220047201-1A_HMTGTDSX5,S14,22_EscRic_L1_1,Train,Huelva,22
S15_EKDN230001042-1A_HMTF5DSX5,S15,22_EscVit_L2,Train,Huelva,22
S16_EKDN220047203-1A_HMTG3DSX5,S16,22_EscCale_L1,Train,Huelva,22
S17_EKDN230001043-1A_HMTF5DSX5,S17,22_EscCar_L1,Train,Huelva,22
S18_EKDN230001044-1A_HMTF5DSX5,S18,22_EscJos_L1,Train,Huelva,22
S19_EKDN220047206-1A_HMTG3DSX5,S19,22_EscMax_L1,Train,Huelva,22
S20_EKDN220047207-1A_HMTGCDSX5,S20,22_EscOrt_L1,Train,Huelva,22
S21_EKDN230001045-1A_HMTF5DSX5,S21,22_EscSim_L1,Train,Huelva,22
S22_EKDN220047209-1A_HMTG3DSX5,S22,22_EscIca_L1,Train,Huelva,22
S23_EKDN220047210-1A_HMTG3DSX5,S23,22_EscCris_L1,Train,Huelva,22
S24_EKDN220047211-1A_HMTG3DSX5,S24,22_EscFer_L1,Train,Huelva,22
S25_combined_EKDN23H000001-1A_HNHFYDSX5,S25,22_Esc3992_L1,Train,Huelva,22
S26_EKDN220047213-1A_HMTG3DSX5,S26,22_EscVal_L1,Train,Huelva,22
S27_EKDN220047214-1A_HMTG3DSX5,S27,22_EcijaSecRic_L1,Train,Sevilla,22
S28_EKDN220047215-1A_HMTG3DSX5,S28,22_EcijaSec3927_L1,Train,Sevilla,22
S29_EKDN220047216-1A_HMTG3DSX5,S29,22_EcijaSecVit_L2,Train,Sevilla,22
S30_EKDN220047217-1A_HMTG3DSX5,S30,22_EcijaSecRum_L1,Train,Sevilla,22
S31_EKDN220047218-1A_HMTG3DSX5,S31,22_EcijaSecOrt_L1,Train,Sevilla,22
S32_EKDN220047219-1A_HMTGTDSX5,S32,22_EcijaSecVal_L1,Train,Sevilla,22
S33_EKDN230001047-1A_HMTF5DSX5,S33,22_EcijaSec3758_L1,Train,Sevilla,22
S34_EKDN220047221-1A_HMTGTDSX5,S34,22_EcijaSecTej_L1,Train,Sevilla,22
S35_EKDN220047222-1A_HMTG3DSX5,S35,22_EcijaSecMax_L1,Train,Sevilla,22
S36_EKDN220047223-1A_HMTG3DSX5,S36,22_EcijaSecCris_L1,Train,Sevilla,22
S37_EKDN220047224-1A_HMTG3DSX5,S37,22_EcijaSecNor_L2,Train,Sevilla,22
S38_EKDN220047225-1A_HMTG3DSX5,S38,22_EcijaSec83Ica_L2,Train,Sevilla,22
S39_EKDN220047226-1A_HMTG3DSX5,S39,22_EcijaSec3806_L1,Train,Sevilla,22
S40_EKDN220047227-1A_HMTG3DSX5,S40,22_EcijaSecFel_L1,Train,Sevilla,22
S41_EKDN220047228-1A_HMTG3DSX5,S41,22_EcijaSecAmi_L1,Train,Sevilla,22
S42_EKDN220047229-1A_HMTG3DSX5,S42,22_EcijaSecAth_L2,Train,Sevilla,22
